2022-12-30 17:00:01.312359, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-30 17:15:00.847135, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-30 17:30:02.496251, B/S PRICE:0, TYPE: sell, STOP: 16566.42, TARGET: 16481.19
2022-12-30 17:45:01.534468, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-30 18:00:00.838392, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-30 18:00:17.014778, B/S PRICE:16590.7, TYPE: STOP, STOP: 0, TARGET: 0
2022-12-30 18:15:01.294291, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 18:30:01.801783, B/S PRICE:16606.11, TYPE: sell, STOP: 16619.64, TARGET: 16578.269999999997
2022-12-30 18:45:01.870898, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-30 19:00:01.469421, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-30 19:15:00.885550, B/S PRICE:0, TYPE: sell, STOP: 16577.35, TARGET: 16612.39
2022-12-30 19:30:01.416848, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-30 19:45:01.669323, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-30 20:00:02.361910, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-30 20:02:00.322471, B/S PRICE:16576.09, TYPE: GAIN, STOP: 0, TARGET: 0
2022-12-30 20:15:01.394576, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 20:30:01.200902, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 20:45:01.611261, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 21:00:02.311425, B/S PRICE:16607.7, TYPE: sell, STOP: 16625.75, TARGET: 16570.94
2022-12-30 21:15:01.245527, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-30 21:30:01.362065, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-30 21:45:01.658695, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-30 22:00:01.751139, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-30 22:09:00.615844, B/S PRICE:16570.01, TYPE: GAIN, STOP: 0, TARGET: 0
2022-12-30 22:15:03.609670, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 22:30:01.407572, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 22:45:01.500743, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 23:00:01.491521, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 23:15:01.286169, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 23:30:02.181200, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 23:45:01.799091, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 09:30:01.492862, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 09:45:01.231769, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 10:00:02.036385, B/S PRICE:16575.23, TYPE: buy, STOP: 16541.0, TARGET: 16643.21
2022-12-31 10:15:01.644756, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-31 10:30:00.965884, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-31 10:45:01.223651, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
