open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1675047300000,23631.02000000,23636.98000000,23629.99000000,23631.84000000,82.18016000,1675047359999,1942204.69148400,2929,37.36673000,883128.49658000,0
1675047360000,23632.61000000,23641.98000000,23630.32000000,23641.81000000,161.41202000,1675047419999,3815120.94685380,4227,88.13726000,2083264.26801490,0
1675047420000,23640.88000000,23645.71000000,23626.70000000,23630.04000000,203.58617000,1675047479999,4811868.47122790,5328,95.24696000,2251203.02987430,0
1675047480000,23630.05000000,23650.55000000,23629.44000000,23643.22000000,225.73854000,1675047539999,5337040.92639310,5132,141.57311000,3347124.38606350,0
1675047540000,23643.23000000,23649.15000000,23640.00000000,23645.76000000,94.72368000,1675047599999,2239691.04312730,3339,46.05011000,1088855.68446920,0
1675047600000,23645.76000000,23654.00000000,23640.54000000,23651.11000000,133.22348000,1675047659999,3150250.85893990,4232,70.76555000,1673390.53160660,0
1675047660000,23650.39000000,23652.74000000,23643.57000000,23644.81000000,93.38414000,1675047719999,2208272.71372170,3332,50.61555000,1196941.68234850,0
1675047720000,23644.19000000,23647.70000000,23632.67000000,23635.02000000,116.72088000,1675047779999,2759285.23531170,3552,50.49795000,1193795.37975910,0
1675047780000,23635.02000000,23646.37000000,23628.24000000,23630.09000000,123.65178000,1675047839999,2922837.30885650,3787,64.46047000,1523767.87640500,0
1675047840000,23630.09000000,23638.98000000,23627.19000000,23635.46000000,105.72741000,1675047899999,2498458.64108670,3296,53.62592000,1267283.67908220,0
1675047900000,23635.45000000,23639.59000000,23628.78000000,23634.64000000,71.91683000,1675047959999,1699682.75160370,2783,37.20001000,879188.93661370,0
1675047960000,23634.65000000,23637.58000000,23630.11000000,23634.58000000,58.66214000,1675048019999,1386402.40008570,2375,28.62649000,676550.16486340,0
1675048020000,23635.40000000,23640.37000000,23627.59000000,23628.34000000,118.61502000,1675048079999,2803304.22909390,2983,50.84146000,1201589.80810960,0
1675048080000,23629.34000000,23632.97000000,23626.52000000,23629.50000000,76.82649000,1675048139999,1815379.54781710,2306,40.31326000,952604.23140050,0
